,name,labels
62,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_66_Echium_Lotus_Castanea_Euc_2109210917_0_16.121_-3.552_5.185.jpeg,Eucalyptus sp.
63,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-0-Sample_22_imported_Ana_040320211009_Capture_142.jpg,Helianthus annuus
64,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Tilia/Tilia-0-Sample_47_Tilia_0706211613_0_2.353_8.228_-0.005.jpeg,Tilia
65,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-3-Sample_23_Euc_Ech_Coro_28.856_1.112_0.798.jpeg,Eucalyptus sp.
66,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-3-Sample_21_Rapseed_17.981_-2.163_0.736.jpeg,Brassica
67,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Tilia/Tilia-0-Sample_49_Tilia_Flor_3105211737_15.176471_0.705882_4.701406.jpeg,Tilia
68,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Rosmarinus officinalis/Rosmarinus officinalis-1-Sample_19_Rosmarinus_29.849_2.487_0.784.jpeg,Rosmarinus officinalis
69,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Pinus/Pinus-3-Sample_77_Pinus_Poaceae_2112211345_0_51.261_8.475_5.601.jpeg,Pinus
70,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Cistus sp/Cistus sp-1-Sample_79_UC_0401221030_0_14.621_9.018_5.190.jpeg,Cistus sp
71,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-6-Sample_71_Lavanda_Espliego_2110210858_0_7.468_0.599_5.433.jpeg,Lavandula
72,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-0-Sample_17_sunflower_0_22.035088_0.000000_4.611648.jpeg,Helianthus annuus
73,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-0-Sample_19_2202211823_12.642857_1.357143_4.456376.jpeg,Helianthus annuus
74,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_58_Vaccinium_myrtillus_0607211025_0_33.815_1.268_5.248.jpeg,Erica.m
75,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Erica.m-1-Sample_72_Arbutus_Erica_0311211552_0_31.185_-0.509_5.465.jpeg,Erica.m
76,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Tilia/Tilia-5-Sample_53_Tilia_honey_3105211737_23.294118_1.058824_4.729841_2.jpeg,Tilia
77,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Cistus sp/Cistus sp-0-Sample_61_Olea_Brassica_Salix_0_12.912281_0.705882_4.722920.jpeg,Cistus sp
78,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_66_Echium_Lotus_Castanea_Euc_2109211645_0_21.603_-4.329_5.196.jpeg,Eucalyptus sp.
79,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Cardus/Cardus-1-Sample_19_Rosmarinus_38.176_2.012_0.787.jpeg,Cardus
80,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-0-Sample_71_Lavanda_Espliego_2411211043_0_8.119_2.893_5.471.jpeg,Lavandula
81,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-1-Sample_15_giras (597).jpeg,Helianthus annuus
82,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-1-Sample_64_Erica.t_Calluna_0709210846_0_51.152_2.983_5.282.jpeg,Erica.m
83,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-1-Sample_58_Vaccinium_myrtillus_2906211214_0_14.991_-4.351_5.267.jpeg,Erica.m
84,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-0-Sample_23_Euc_Ech_Coro_31.207_1.337_0.806.jpeg,Eucalyptus sp.
85,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Cistus sp/Cistus sp-0-Sample_73_Malus_0311211129_0_27.023_5.221_5.488.jpeg,Cistus sp
86,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-0-Sample_71_Lavanda_Espliego_2411211108_0_11.069_7.642_5.468.jpeg,Lavandula
87,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-0-Sample_71_Lavanda_Espliego_2110211450_0_16.240_7.988_5.485.jpeg,Lavandula
88,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-1-Sample_71_Lavanda_Espliego_1810211317_0_41.750_-0.320_5.543.jpeg,Lavandula
89,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-1-Sample_65_Castanea_1309211218_0_0.131_-0.580_5.134.jpeg,Eucalyptus sp.
90,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_43_Calluna_1905211017_0_20.197_6.828_0.860.jpeg,Erica.m
91,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-1-Sample_67_Citrus_2809211727_0_27.247_14.001_5.531.jpeg,Brassica
92,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-0-Sample_15_Girasol (152).jpg,Helianthus annuus
93,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Tilia/Tilia-1-Sample_17_sunflower_0809211309_0_14.364_6.028_5.184.jpeg,Tilia
94,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-1-Sample_21_Rapseed_30.268_0.600_0.712.jpeg,Brassica
95,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Rosmarinus officinalis/Rosmarinus officinalis-0-Sample_72_Arbutus_Erica_0511211153_0_16.706_9.186_5.483.jpeg,Rosmarinus officinalis
96,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-1-Sample_21_Rapseed_37.544_11.600_0.786.jpeg,Brassica
97,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Cistus sp/Cistus sp-1-Sample_72_Arbutus_Erica_1711211314_0_46.534_8.829_5.490.jpeg,Cistus sp
98,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-3-Sample_3_Capture_105_2.bmp,Eucalyptus sp.
99,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_64_Erica.t_Calluna_0709210852_0_15.596_5.917_5.147.jpeg,Erica.m
100,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_58_Vaccinium_myrtillus_2906211205_0_50.833_-5.768_5.312.jpeg,Erica.m
101,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_58_Vaccinium_myrtillus_0607211111_0_41.134_6.419_5.280.jpeg,Erica.m
102,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Rosmarinus officinalis/Rosmarinus officinalis-0-Sample_19_Rosmarinus_37.241_-4.144_0.783.jpeg,Rosmarinus officinalis
103,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-4-Sample_71_Lavanda_Espliego_1810211319_0_36.399_0.517_5.532.jpeg,Lavandula
104,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Rosmarinus officinalis/Rosmarinus officinalis-0-Sample_19_Rosmarinus_37.028_-2.231_0.753.jpeg,Rosmarinus officinalis
105,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_66_Echium_Lotus_Castanea_Euc_2109210910_0_0.000_-0.167_5.147.jpeg,Eucalyptus sp.
106,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Rosmarinus officinalis/Rosmarinus officinalis-0-Sample_19_Rosmarinus_39.450_8.569_0.769.jpeg,Rosmarinus officinalis
107,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Erica.m-0-Sample_72_Arbutus_Erica_0311210948_0_16.420_2.685_5.475.jpeg,Erica.m
108,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Citrus sp/Citrus sp-0-Sample_67_Citrus_0410211028_0_28.164_1.900_5.452.jpeg,Citrus sp
109,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-5-Sample_66_Echium_Lotus_Castanea_Euc_2109211231_0_20.258_3.366_5.164.jpeg,Eucalyptus sp.
110,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Tilia/Tilia-1-Sample_49_Tilia_Flor_3105211737_22.941176_0.000000_4.735929.jpeg,Tilia
111,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Lavandula/Lavandula-0-Sample_70_Cantueso_2010211622_0_35.831_11.052_5.673.jpeg,Lavandula
112,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_64_Erica.t_Calluna_0209211023_0_3.233_7.679_5.251.jpeg,Erica.m
113,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Cardus/Cardus-2-Sample_64_Erica.t_Calluna_0109211557_0_12.589_-4.537_5.189.jpeg,Cardus
114,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-20-Sample_66_Echium_Lotus_Castanea_Euc_2109211238_0_1.821_0.915_5.155.jpeg,Eucalyptus sp.
115,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-0-Sample_21_Rapseed_41.512_-6.000_0.758.jpeg,Brassica
116,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_64_Erica.t_Calluna_0109211648_0_39.361_1.064_5.253.jpeg,Erica.m
117,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Erica.m-0-Sample_72_Arbutus_Erica_0311211529_0_30.101_-3.525_5.461.jpeg,Erica.m
118,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Taraxacum/Taraxacum-0-Sample_79_UC_2812211311_0_18.363_-2.068_5.655.jpeg,Taraxacum
119,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-1-Sample_21_Rapseed_21.976_-3.794_0.749.jpeg,Brassica
120,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-0-Sample_19_2202211823_37.714286_6.500000_4.465889.jpeg,Helianthus annuus
121,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Taraxacum/Taraxacum-0-Sample_17_sunflower_0709211323_0_53.769_1.584_5.277.jpeg,Taraxacum
122,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-3-Sample_21_Rapseed_48.882_-1.819_0.800.jpeg,Brassica
123,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-0-Sample_21_Rapseed_42.126_11.600_0.798.jpeg,Brassica
124,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Tilia/Tilia-0-Sample_47_Tilia_0206211340_0_22.568_-3.322_0.849.jpeg,Tilia
125,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Erica.m-0-Sample_72_Arbutus_Erica_0311211551_0_28.100_-0.792_5.460.jpeg,Erica.m
126,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-6-Sample_65_Castanea_1609211620_0_25.585_-0.866_5.162.jpeg,Eucalyptus sp.
127,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Erica.m-0-Sample_72_Arbutus_Erica_2710211650_0_35.437_-2.596_5.536.jpeg,Erica.m
128,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_64_Erica.t_Calluna_0209211654_0_28.541_0.762_5.256.jpeg,Erica.m
129,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Brassica/Brassica-0-Sample_56_BrassicaHoney_Salix_Quercus_1606211614_0_41.031_1.666_0.700.jpeg,Brassica
130,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Erica.m/Vaccinium_m-0-Sample_64_Erica.t_Calluna_0109211614_0_32.377_-3.187_5.234.jpeg,Erica.m
131,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-4-Sample_66_Echium_Lotus_Castanea_Euc_2109211645_0_20.486_-4.511_5.192.jpeg,Eucalyptus sp.
132,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Tilia/Tilia-0-Sample_47_Tilia_0706211607_0_32.276_8.709_0.878.jpeg,Tilia
133,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Taraxacum/Taraxacum-2-Sample_67_Citrus_0410211213_0_0.461_5.165_5.475.jpeg,Taraxacum
134,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Eucalyptus sp./Eucalyptus sp.-2-Sample_3_Capture_368.bmp,Eucalyptus sp.
135,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-0-Sample_22_imported_Ana_Capture_723.jpg,Helianthus annuus
136,/mnt/gpid08/datasets/remote_sensing/tmp_from_gpid07/honey/datasets/Helianthus annuus/Helianthus annuus-1-Sample_47_Tilia_0_10.807018_2.470588_4.624561.jpeg,Helianthus annuus
